Playlist,Position,Artist,Track,Search Query
Warped Tour DC 2026 - Top 3 Main Lineup,1,3OH!3,Richman,3OH!3 Richman
Warped Tour DC 2026 - Top 3 Main Lineup,2,3OH!3,DONTTRUSTME,3OH!3 DONTTRUSTME
Warped Tour DC 2026 - Top 3 Main Lineup,3,3OH!3,Starstrukk (feat. Katy Perry),3OH!3 Starstrukk (feat. Katy Perry)
Warped Tour DC 2026 - Top 3 Main Lineup,4,All That Remains,This Calling,All That Remains This Calling
Warped Tour DC 2026 - Top 3 Main Lineup,5,All That Remains,Two Weeks,All That Remains Two Weeks
Warped Tour DC 2026 - Top 3 Main Lineup,6,All That Remains,Six,All That Remains Six
Warped Tour DC 2026 - Top 3 Main Lineup,7,American Hi-Fi,Flavor of the Weak,American Hi-Fi Flavor of the Weak
Warped Tour DC 2026 - Top 3 Main Lineup,8,American Hi-Fi,Another Perfect Day,American Hi-Fi Another Perfect Day
Warped Tour DC 2026 - Top 3 Main Lineup,9,American Hi-Fi,The Art of Losing,American Hi-Fi The Art of Losing
Warped Tour DC 2026 - Top 3 Main Lineup,10,Anberlin,The Feel Good Drag,Anberlin The Feel Good Drag
Warped Tour DC 2026 - Top 3 Main Lineup,11,Anberlin,Paperthin Hymn,Anberlin Paperthin Hymn
Warped Tour DC 2026 - Top 3 Main Lineup,12,Anberlin,Godspeed,Anberlin Godspeed
Warped Tour DC 2026 - Top 3 Main Lineup,13,Arm's Length,Object Permanence,Arm's Length Object Permanence
Warped Tour DC 2026 - Top 3 Main Lineup,14,Arm's Length,In Loving Memory,Arm's Length In Loving Memory
Warped Tour DC 2026 - Top 3 Main Lineup,15,Arm's Length,Tough Love,Arm's Length Tough Love
Warped Tour DC 2026 - Top 3 Main Lineup,16,Bad Cop Bad Cop,Womanarchist,Bad Cop Bad Cop Womanarchist
Warped Tour DC 2026 - Top 3 Main Lineup,17,Bad Cop Bad Cop,Pursuit of Liberty,Bad Cop Bad Cop Pursuit of Liberty
Warped Tour DC 2026 - Top 3 Main Lineup,18,Bad Cop Bad Cop,Cheers,Bad Cop Bad Cop Cheers
Warped Tour DC 2026 - Top 3 Main Lineup,19,Bayside,Devotion and Desire,Bayside Devotion and Desire
Warped Tour DC 2026 - Top 3 Main Lineup,20,Bayside,Blame It on Bad Luck,Bayside Blame It on Bad Luck
Warped Tour DC 2026 - Top 3 Main Lineup,21,Bayside,Montauk,Bayside Montauk
Warped Tour DC 2026 - Top 3 Main Lineup,22,BEAUTY SCHOOL DROPOUT,beautiful waste,BEAUTY SCHOOL DROPOUT beautiful waste
Warped Tour DC 2026 - Top 3 Main Lineup,23,BEAUTY SCHOOL DROPOUT,Fever,BEAUTY SCHOOL DROPOUT Fever
Warped Tour DC 2026 - Top 3 Main Lineup,24,BEAUTY SCHOOL DROPOUT,WE MADE PLANS & GOD LAUGHED,BEAUTY SCHOOL DROPOUT WE MADE PLANS & GOD LAUGHED
Warped Tour DC 2026 - Top 3 Main Lineup,25,BIG ASS TRUCK I.E.,BIG ASS TRUCK,BIG ASS TRUCK I.E. BIG ASS TRUCK
Warped Tour DC 2026 - Top 3 Main Lineup,26,BIG ASS TRUCK I.E.,BIG ASS BEER,BIG ASS TRUCK I.E. BIG ASS BEER
Warped Tour DC 2026 - Top 3 Main Lineup,27,BIG ASS TRUCK I.E.,THE FUCKIN' PROMO,BIG ASS TRUCK I.E. THE FUCKIN' PROMO
Warped Tour DC 2026 - Top 3 Main Lineup,28,Boston Manor,Halo,Boston Manor Halo
Warped Tour DC 2026 - Top 3 Main Lineup,29,Boston Manor,Foxglove,Boston Manor Foxglove
Warped Tour DC 2026 - Top 3 Main Lineup,30,Boston Manor,Laika,Boston Manor Laika
Warped Tour DC 2026 - Top 3 Main Lineup,31,Breathe Carolina,Blackout,Breathe Carolina Blackout
Warped Tour DC 2026 - Top 3 Main Lineup,32,Breathe Carolina,Sweet Dreams,Breathe Carolina Sweet Dreams
Warped Tour DC 2026 - Top 3 Main Lineup,33,Breathe Carolina,Sellouts,Breathe Carolina Sellouts
Warped Tour DC 2026 - Top 3 Main Lineup,34,Bryce Vine,Drew Barrymore,Bryce Vine Drew Barrymore
Warped Tour DC 2026 - Top 3 Main Lineup,35,Bryce Vine,La La Land,Bryce Vine La La Land
Warped Tour DC 2026 - Top 3 Main Lineup,36,Bryce Vine,Sour Patch Kids,Bryce Vine Sour Patch Kids
Warped Tour DC 2026 - Top 3 Main Lineup,37,Carolesdaughter,Violent,Carolesdaughter Violent
Warped Tour DC 2026 - Top 3 Main Lineup,38,Carolesdaughter,Trailer Trash,Carolesdaughter Trailer Trash
Warped Tour DC 2026 - Top 3 Main Lineup,39,Carolesdaughter,Target Practice,Carolesdaughter Target Practice
Warped Tour DC 2026 - Top 3 Main Lineup,40,Caskets,Glass Heart,Caskets Glass Heart
Warped Tour DC 2026 - Top 3 Main Lineup,41,Caskets,Lost in Echoes,Caskets Lost in Echoes
Warped Tour DC 2026 - Top 3 Main Lineup,42,Caskets,Guiding Light,Caskets Guiding Light
Warped Tour DC 2026 - Top 3 Main Lineup,43,Citizen,The Night I Drove Alone,Citizen The Night I Drove Alone
Warped Tour DC 2026 - Top 3 Main Lineup,44,Citizen,Sleep,Citizen Sleep
Warped Tour DC 2026 - Top 3 Main Lineup,45,Citizen,Blue Sunday,Citizen Blue Sunday
Warped Tour DC 2026 - Top 3 Main Lineup,46,CLIQUE,Worth,CLIQUE Worth
Warped Tour DC 2026 - Top 3 Main Lineup,47,CLIQUE,Separate,CLIQUE Separate
Warped Tour DC 2026 - Top 3 Main Lineup,48,CLIQUE,Crater,CLIQUE Crater
Warped Tour DC 2026 - Top 3 Main Lineup,49,Codefendants,Def Cons,Codefendants Def Cons
Warped Tour DC 2026 - Top 3 Main Lineup,50,Codefendants,Fast Ones,Codefendants Fast Ones
Warped Tour DC 2026 - Top 3 Main Lineup,51,Codefendants,Abscessed,Codefendants Abscessed
Warped Tour DC 2026 - Top 3 Main Lineup,52,Coheed and Cambria,Welcome Home,Coheed and Cambria Welcome Home
Warped Tour DC 2026 - Top 3 Main Lineup,53,Coheed and Cambria,A Favor House Atlantic,Coheed and Cambria A Favor House Atlantic
Warped Tour DC 2026 - Top 3 Main Lineup,54,Coheed and Cambria,The Suffering,Coheed and Cambria The Suffering
Warped Tour DC 2026 - Top 3 Main Lineup,55,Crown The Empire,Machines,Crown The Empire Machines
Warped Tour DC 2026 - Top 3 Main Lineup,56,Crown The Empire,Johnny's Revenge,Crown The Empire Johnny's Revenge
Warped Tour DC 2026 - Top 3 Main Lineup,57,Crown The Empire,Memories of a Broken Heart,Crown The Empire Memories of a Broken Heart
Warped Tour DC 2026 - Top 3 Main Lineup,58,Daisy Grenade,Hypocrite,Daisy Grenade Hypocrite
Warped Tour DC 2026 - Top 3 Main Lineup,59,Daisy Grenade,Are You Scared of Me Yet?,Daisy Grenade Are You Scared of Me Yet?
Warped Tour DC 2026 - Top 3 Main Lineup,60,Daisy Grenade,Got It Bad,Daisy Grenade Got It Bad
Warped Tour DC 2026 - Top 3 Main Lineup,61,Dance Gavin Dance,We Own the Night,Dance Gavin Dance We Own the Night
Warped Tour DC 2026 - Top 3 Main Lineup,62,Dance Gavin Dance,Inspire the Liars,Dance Gavin Dance Inspire the Liars
Warped Tour DC 2026 - Top 3 Main Lineup,63,Dance Gavin Dance,Uneasy Hearts Weigh the Most,Dance Gavin Dance Uneasy Hearts Weigh the Most
Warped Tour DC 2026 - Top 3 Main Lineup,64,DeathbyRomy,I Kill Everything,DeathbyRomy I Kill Everything
Warped Tour DC 2026 - Top 3 Main Lineup,65,DeathbyRomy,Day I Die,DeathbyRomy Day I Die
Warped Tour DC 2026 - Top 3 Main Lineup,66,DeathbyRomy,Problems,DeathbyRomy Problems
Warped Tour DC 2026 - Top 3 Main Lineup,67,"Drop Dead, Gorgeous",Dressed for Friend Requests,"Drop Dead, Gorgeous Dressed for Friend Requests"
Warped Tour DC 2026 - Top 3 Main Lineup,68,"Drop Dead, Gorgeous","Two Birds, One Stone","Drop Dead, Gorgeous Two Birds, One Stone"
Warped Tour DC 2026 - Top 3 Main Lineup,69,"Drop Dead, Gorgeous",They'll Never Get Me (Word With You),"Drop Dead, Gorgeous They'll Never Get Me (Word With You)"
Warped Tour DC 2026 - Top 3 Main Lineup,70,Drug Church,Weed Pin,Drug Church Weed Pin
Warped Tour DC 2026 - Top 3 Main Lineup,71,Drug Church,Myopic,Drug Church Myopic
Warped Tour DC 2026 - Top 3 Main Lineup,72,Drug Church,Bliss Out,Drug Church Bliss Out
Warped Tour DC 2026 - Top 3 Main Lineup,73,Elijah,hard feelings,Elijah hard feelings
Warped Tour DC 2026 - Top 3 Main Lineup,74,Elijah,"24/7, 365","Elijah 24/7, 365"
Warped Tour DC 2026 - Top 3 Main Lineup,75,Elijah,lemonade,Elijah lemonade
Warped Tour DC 2026 - Top 3 Main Lineup,76,EverChanger,Currency,EverChanger Currency
Warped Tour DC 2026 - Top 3 Main Lineup,77,EverChanger,Time Will Tell,EverChanger Time Will Tell
Warped Tour DC 2026 - Top 3 Main Lineup,78,EverChanger,Lost in Cycles,EverChanger Lost in Cycles
Warped Tour DC 2026 - Top 3 Main Lineup,79,Fame on Fire,Welcome To The Chaos,Fame on Fire Welcome To The Chaos
Warped Tour DC 2026 - Top 3 Main Lineup,80,Fame on Fire,Nightmare (The Devil),Fame on Fire Nightmare (The Devil)
Warped Tour DC 2026 - Top 3 Main Lineup,81,Fame on Fire,Plastic Heart,Fame on Fire Plastic Heart
Warped Tour DC 2026 - Top 3 Main Lineup,82,Fluorescents,Movie Script,Fluorescents Movie Script
Warped Tour DC 2026 - Top 3 Main Lineup,83,Fluorescents,Back for More,Fluorescents Back for More
Warped Tour DC 2026 - Top 3 Main Lineup,84,Fluorescents,Honestly,Fluorescents Honestly
Warped Tour DC 2026 - Top 3 Main Lineup,85,Fox Lake,Dog Eat Dog,Fox Lake Dog Eat Dog
Warped Tour DC 2026 - Top 3 Main Lineup,86,Fox Lake,Cold Hard Truth,Fox Lake Cold Hard Truth
Warped Tour DC 2026 - Top 3 Main Lineup,87,Fox Lake,Gaslight,Fox Lake Gaslight
Warped Tour DC 2026 - Top 3 Main Lineup,88,Free Throw,Two Beers In,Free Throw Two Beers In
Warped Tour DC 2026 - Top 3 Main Lineup,89,Free Throw,"Randy, I Am the Liquor","Free Throw Randy, I Am the Liquor"
Warped Tour DC 2026 - Top 3 Main Lineup,90,Free Throw,Pallet Town,Free Throw Pallet Town
Warped Tour DC 2026 - Top 3 Main Lineup,91,From First to Last,Note to Self,From First to Last Note to Self
Warped Tour DC 2026 - Top 3 Main Lineup,92,From First to Last,Emily,From First to Last Emily
Warped Tour DC 2026 - Top 3 Main Lineup,93,From First to Last,Ride the Wings of Pestilence,From First to Last Ride the Wings of Pestilence
Warped Tour DC 2026 - Top 3 Main Lineup,94,Girlfriends,California,Girlfriends California
Warped Tour DC 2026 - Top 3 Main Lineup,95,Girlfriends,High Again,Girlfriends High Again
Warped Tour DC 2026 - Top 3 Main Lineup,96,Girlfriends,Tattoo,Girlfriends Tattoo
Warped Tour DC 2026 - Top 3 Main Lineup,97,Glassjaw,Ape Dos Mil,Glassjaw Ape Dos Mil
Warped Tour DC 2026 - Top 3 Main Lineup,98,Glassjaw,Tip Your Bartender,Glassjaw Tip Your Bartender
Warped Tour DC 2026 - Top 3 Main Lineup,99,Glassjaw,Siberian Kiss,Glassjaw Siberian Kiss
Warped Tour DC 2026 - Top 3 Main Lineup,100,Grandson,Blood // Water,Grandson Blood // Water
Warped Tour DC 2026 - Top 3 Main Lineup,101,Grandson,Dirty,Grandson Dirty
Warped Tour DC 2026 - Top 3 Main Lineup,102,Grandson,Despicable,Grandson Despicable
Warped Tour DC 2026 - Top 3 Main Lineup,103,GWAR,Sick of You,GWAR Sick of You
Warped Tour DC 2026 - Top 3 Main Lineup,104,GWAR,Immortal Corrupter,GWAR Immortal Corrupter
Warped Tour DC 2026 - Top 3 Main Lineup,105,GWAR,Bring Back the Bomb,GWAR Bring Back the Bomb
Warped Tour DC 2026 - Top 3 Main Lineup,106,Gym Class Heroes,Stereo Hearts (feat. Adam Levine),Gym Class Heroes Stereo Hearts (feat. Adam Levine)
Warped Tour DC 2026 - Top 3 Main Lineup,107,Gym Class Heroes,Cupid's Chokehold / Breakfast in America,Gym Class Heroes Cupid's Chokehold / Breakfast in America
Warped Tour DC 2026 - Top 3 Main Lineup,108,Gym Class Heroes,Clothes Off!!,Gym Class Heroes Clothes Off!!
Warped Tour DC 2026 - Top 3 Main Lineup,109,Hawthorne Heights,Ohio Is for Lovers,Hawthorne Heights Ohio Is for Lovers
Warped Tour DC 2026 - Top 3 Main Lineup,110,Hawthorne Heights,Niki FM,Hawthorne Heights Niki FM
Warped Tour DC 2026 - Top 3 Main Lineup,111,Hawthorne Heights,Saying Sorry,Hawthorne Heights Saying Sorry
Warped Tour DC 2026 - Top 3 Main Lineup,112,Holy Wars,Get Mine,Holy Wars Get Mine
Warped Tour DC 2026 - Top 3 Main Lineup,113,Holy Wars,Deus Ex Machina,Holy Wars Deus Ex Machina
Warped Tour DC 2026 - Top 3 Main Lineup,114,Holy Wars,Tension//Release,Holy Wars Tension//Release
Warped Tour DC 2026 - Top 3 Main Lineup,115,Honey Revenge,Habitual,Honey Revenge Habitual
Warped Tour DC 2026 - Top 3 Main Lineup,116,Honey Revenge,Airhead,Honey Revenge Airhead
Warped Tour DC 2026 - Top 3 Main Lineup,117,Honey Revenge,Favorite Song,Honey Revenge Favorite Song
Warped Tour DC 2026 - Top 3 Main Lineup,118,Hoobastank,The Reason,Hoobastank The Reason
Warped Tour DC 2026 - Top 3 Main Lineup,119,Hoobastank,Crawling in the Dark,Hoobastank Crawling in the Dark
Warped Tour DC 2026 - Top 3 Main Lineup,120,Hoobastank,Running Away,Hoobastank Running Away
Warped Tour DC 2026 - Top 3 Main Lineup,121,Hot Chelle Rae,Tonight Tonight,Hot Chelle Rae Tonight Tonight
Warped Tour DC 2026 - Top 3 Main Lineup,122,Hot Chelle Rae,I Like It Like That,Hot Chelle Rae I Like It Like That
Warped Tour DC 2026 - Top 3 Main Lineup,123,Hot Chelle Rae,Bleed,Hot Chelle Rae Bleed
Warped Tour DC 2026 - Top 3 Main Lineup,124,Hot Mulligan,Equip Sunglasses,Hot Mulligan Equip Sunglasses
Warped Tour DC 2026 - Top 3 Main Lineup,125,Hot Mulligan,BCKYRD,Hot Mulligan BCKYRD
Warped Tour DC 2026 - Top 3 Main Lineup,126,Hot Mulligan,Featuring Mark Hoppus,Hot Mulligan Featuring Mark Hoppus
Warped Tour DC 2026 - Top 3 Main Lineup,127,I Set My Friends On Fire,Things That Rhyme With Orange,I Set My Friends On Fire Things That Rhyme With Orange
Warped Tour DC 2026 - Top 3 Main Lineup,128,I Set My Friends On Fire,Crank That,I Set My Friends On Fire Crank That
Warped Tour DC 2026 - Top 3 Main Lineup,129,I Set My Friends On Fire,Astral Rejection,I Set My Friends On Fire Astral Rejection
Warped Tour DC 2026 - Top 3 Main Lineup,130,Iann Dior,gone girl,Iann Dior gone girl
Warped Tour DC 2026 - Top 3 Main Lineup,131,Iann Dior,mood,Iann Dior mood
Warped Tour DC 2026 - Top 3 Main Lineup,132,Iann Dior,emotions,Iann Dior emotions
Warped Tour DC 2026 - Top 3 Main Lineup,133,Initiate,Alone At The Bottom,Initiate Alone At The Bottom
Warped Tour DC 2026 - Top 3 Main Lineup,134,Initiate,The Surface,Initiate The Surface
Warped Tour DC 2026 - Top 3 Main Lineup,135,Initiate,An Eye For An Eye,Initiate An Eye For An Eye
Warped Tour DC 2026 - Top 3 Main Lineup,136,Jimmy Eat World,The Middle,Jimmy Eat World The Middle
Warped Tour DC 2026 - Top 3 Main Lineup,137,Jimmy Eat World,Sweetness,Jimmy Eat World Sweetness
Warped Tour DC 2026 - Top 3 Main Lineup,138,Jimmy Eat World,Bleed American,Jimmy Eat World Bleed American
Warped Tour DC 2026 - Top 3 Main Lineup,139,Jinjer,Pisces,Jinjer Pisces
Warped Tour DC 2026 - Top 3 Main Lineup,140,Jinjer,"Teacher, Teacher!","Jinjer Teacher, Teacher!"
Warped Tour DC 2026 - Top 3 Main Lineup,141,Jinjer,Sit Stay Roll Over,Jinjer Sit Stay Roll Over
Warped Tour DC 2026 - Top 3 Main Lineup,142,Joyce Manor,Constant Headache,Joyce Manor Constant Headache
Warped Tour DC 2026 - Top 3 Main Lineup,143,Joyce Manor,Catalina Fight Song,Joyce Manor Catalina Fight Song
Warped Tour DC 2026 - Top 3 Main Lineup,144,Joyce Manor,Heart Tattoo,Joyce Manor Heart Tattoo
Warped Tour DC 2026 - Top 3 Main Lineup,145,Jutes,Sleepyhead,Jutes Sleepyhead
Warped Tour DC 2026 - Top 3 Main Lineup,146,Jutes,Fingers,Jutes Fingers
Warped Tour DC 2026 - Top 3 Main Lineup,147,Jutes,Bad Dream,Jutes Bad Dream
Warped Tour DC 2026 - Top 3 Main Lineup,148,KennyHoopla,how will i rest in peace if i'm buried by a highway?//,KennyHoopla how will i rest in peace if i'm buried by a highway?//
Warped Tour DC 2026 - Top 3 Main Lineup,149,KennyHoopla,estella//,KennyHoopla estella//
Warped Tour DC 2026 - Top 3 Main Lineup,150,KennyHoopla,hollywood sucks//,KennyHoopla hollywood sucks//
Warped Tour DC 2026 - Top 3 Main Lineup,151,Killswitch Engage,My Curse,Killswitch Engage My Curse
Warped Tour DC 2026 - Top 3 Main Lineup,152,Killswitch Engage,The End of Heartache,Killswitch Engage The End of Heartache
Warped Tour DC 2026 - Top 3 Main Lineup,153,Killswitch Engage,Holy Diver,Killswitch Engage Holy Diver
Warped Tour DC 2026 - Top 3 Main Lineup,154,Lambrini Girls,Big Dick Energy,Lambrini Girls Big Dick Energy
Warped Tour DC 2026 - Top 3 Main Lineup,155,Lambrini Girls,Help Me I'm Gay,Lambrini Girls Help Me I'm Gay
Warped Tour DC 2026 - Top 3 Main Lineup,156,Lambrini Girls,God's Country,Lambrini Girls God's Country
Warped Tour DC 2026 - Top 3 Main Lineup,157,LØLØ,u & the tin man,LØLØ u & the tin man
